Pays,Serie,Valeurs 2017
Bahamas,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Bahamas,"Taux de mortalité, brut (pour 1 000 personnes)",6.72
Bahreïn,Chômage (% de la population active) (estimation nationale),
Bahreïn,Croissance de la population (% annuel),4.678047471
Bahreïn,Densité de la population (personnes par kilomètre carré de superficie des terres),1915.483333
Bahreïn,"Population active, total",869479
Bahreïn,"Population, total",1494077
Bahreïn,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",71.56
Bahreïn,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Bahreïn,"Taux de mortalité, brut (pour 1 000 personnes)",2.368
Bangladesh,Chômage (% de la population active) (estimation nationale),4.37
Bangladesh,Croissance de la population (% annuel),1.075535249
Bangladesh,Densité de la population (personnes par kilomètre carré de superficie des terres),1226.745187
Bangladesh,"Population active, total",67462312
Bangladesh,"Population, total",159685421
Bangladesh,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",56.29
Bangladesh,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),58.33
Bangladesh,"Taux de mortalité, brut (pour 1 000 personnes)",5.533
Barbade,Chômage (% de la population active) (estimation nationale),8.62
Barbade,Croissance de la population (% annuel),0.150692216
Barbade,Densité de la population (personnes par kilomètre carré de superficie des terres),665.6488372
Barbade,"Population active, total",155139
Barbade,"Population, total",286229
Barbade,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",59.33
Barbade,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),64.37
Barbade,"Taux de mortalité, brut (pour 1 000 personnes)",8.936
Bélarus,Chômage (% de la population active) (estimation nationale),5.65
Bélarus,Croissance de la population (% annuel),-0.109782323
Bélarus,Densité de la population (personnes par kilomètre carré de superficie des terres),46.59830041
Bélarus,"Population active, total",5076176
Bélarus,"Population, total",9458989
Bélarus,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",60.79
Bélarus,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),71.3
Bélarus,"Taux de mortalité, brut (pour 1 000 personnes)",12.6
Belgique,Chômage (% de la population active) (estimation nationale),7.09
Belgique,Croissance de la population (% annuel),0.385228018
Belgique,Densité de la population (personnes par kilomètre carré de superficie des terres),375.6657199
Belgique,"Population active, total",5037594
Belgique,"Population, total",11375158
Belgique,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",49.6
Belgique,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),53.84
Belgique,"Taux de mortalité, brut (pour 1 000 personnes)",9.6
Belize,Chômage (% de la population active) (estimation nationale),6.6
Belize,Croissance de la population (% annuel),1.982397008
Belize,Densité de la population (personnes par kilomètre carré de superficie des terres),16.47413415
Belize,"Population active, total",168355
Belize,"Population, total",375775
Belize,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",60.56
Belize,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),64.03
Belize,"Taux de mortalité, brut (pour 1 000 personnes)",4.681
Bénin,Chômage (% de la population active) (estimation nationale),
Bénin,Croissance de la population (% annuel),2.749902222
Bénin,Densité de la population (personnes par kilomètre carré de superficie des terres),99.10599503
Bénin,"Population active, total",4536724
Bénin,"Population, total",11175192
Bénin,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",69.08
Bénin,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Bénin,"Taux de mortalité, brut (pour 1 000 personnes)",9.025
Bermudes,Chômage (% de la population active) (estimation nationale),
Bermudes,Croissance de la population (% annuel),-1.060534596
Bermudes,Densité de la population (personnes par kilomètre carré de superficie des terres),1182.833333
Bermudes,"Population active, total",
Bermudes,"Population, total",63873
Bermudes,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",
Bermudes,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Bermudes,"Taux de mortalité, brut (pour 1 000 personnes)",7.8
Bhoutan,Chômage (% de la population active) (estimation nationale),
Bhoutan,Croissance de la population (% annuel),1.195073959
Bhoutan,Densité de la population (personnes par kilomètre carré de superficie des terres),19.54600986
Bhoutan,"Population active, total",366409
Bhoutan,"Population, total",745563
Bhoutan,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",65.04
Bhoutan,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Bhoutan,"Taux de mortalité, brut (pour 1 000 personnes)",6.243
Bolivie,Chômage (% de la population active) (estimation nationale),3.65
Bolivie,Croissance de la population (% annuel),1.449144413
Bolivie,Densité de la population (personnes par kilomètre carré de superficie des terres),10.33218222
Bolivie,"Population active, total",5292227
Bolivie,"Population, total",11192853
Bolivie,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",66.54
Bolivie,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),68.63
Bolivie,"Taux de mortalité, brut (pour 1 000 personnes)",6.795
Bosnie-Herzégovine,Chômage (% de la population active) (estimation nationale),20.53
Bosnie-Herzégovine,Croissance de la population (% annuel),-1.030880199
Bosnie-Herzégovine,Densité de la population (personnes par kilomètre carré de superficie des terres),65.45964844
Bosnie-Herzégovine,"Population active, total",1329020
Bosnie-Herzégovine,"Population, total",3351534
Bosnie-Herzégovine,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",36.99
Bosnie-Herzégovine,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),42.29
Bosnie-Herzégovine,"Taux de mortalité, brut (pour 1 000 personnes)",10.563
Botswana,Chômage (% de la population active) (estimation nationale),
Botswana,Croissance de la population (% annuel),2.068847655
Botswana,Densité de la population (personnes par kilomètre carré de superficie des terres),3.890875726
Botswana,"Population active, total",1023248
Botswana,"Population, total",2205076
Botswana,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",58.42
Botswana,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Botswana,"Taux de mortalité, brut (pour 1 000 personnes)",5.834
Brésil,Chômage (% de la population active) (estimation nationale),12.82
Brésil,Croissance de la population (% annuel),0.807145245
Brésil,Densité de la population (personnes par kilomètre carré de superficie des terres),24.86603778
Brésil,"Population active, total",104268846
Brésil,"Population, total",207833825
Brésil,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",55.84
Brésil,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),62.36
Brésil,"Taux de mortalité, brut (pour 1 000 personnes)",6.378
Brunéi Darussalam,Chômage (% de la population active) (estimation nationale),9.32
Brunéi Darussalam,Croissance de la population (% annuel),1.111027783
Brunéi Darussalam,Densité de la population (personnes par kilomètre carré de superficie des terres),80.54667932
Brunéi Darussalam,"Population active, total",212578
Brunéi Darussalam,"Population, total",424481
Brunéi Darussalam,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",59.36
Brunéi Darussalam,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),62.73
Brunéi Darussalam,"Taux de mortalité, brut (pour 1 000 personnes)",4.345
Bulgarie,Chômage (% de la population active) (estimation nationale),6.16
Bulgarie,Croissance de la population (% annuel),-0.730443175
Bulgarie,Densité de la population (personnes par kilomètre carré de superficie des terres),65.18005711
Bulgarie,"Population active, total",3357463
Bulgarie,"Population, total",7075947
Bulgarie,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",52.04
Bulgarie,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),55.35
Bulgarie,"Taux de mortalité, brut (pour 1 000 personnes)",15.5
Burkina Faso,Chômage (% de la population active) (estimation nationale),
Burkina Faso,Croissance de la population (% annuel),2.890750882
Burkina Faso,Densité de la population (personnes par kilomètre carré de superficie des terres),70.15071637
Burkina Faso,"Population active, total",7005173
Burkina Faso,"Population, total",19193236
Burkina Faso,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",63.16
Burkina Faso,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Burkina Faso,"Taux de mortalité, brut (pour 1 000 personnes)",8.341
Burundi,Chômage (% de la population active) (estimation nationale),
Burundi,Croissance de la population (% annuel),3.181200079
Burundi,Densité de la population (personnes par kilomètre carré de superficie des terres),421.6125389
Burundi,"Population active, total",4660949
Burundi,"Population, total",10827010
Burundi,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",77.89
Burundi,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Burundi,"Taux de mortalité, brut (pour 1 000 personnes)",8.106
Cabo Verde,Chômage (% de la population active) (estimation nationale),12.24
Cabo Verde,Croissance de la population (% annuel),1.190125956
Cabo Verde,Densité de la population (personnes par kilomètre carré de superficie des terres),133.3744417
Cabo Verde,"Population active, total",228841
Cabo Verde,"Population, total",537499
Cabo Verde,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",52.76
Cabo Verde,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),59.18
Cabo Verde,"Taux de mortalité, brut (pour 1 000 personnes)",5.682
Cambodge,Chômage (% de la population active) (estimation nationale),0.14
Cambodge,Croissance de la population (% annuel),1.530274527
Cambodge,Densité de la population (personnes par kilomètre carré de superficie des terres),90.69461251
Cambodge,"Population active, total",9049870
Cambodge,"Population, total",16009413
Cambodge,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",82.14
Cambodge,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),81.41
Cambodge,"Taux de mortalité, brut (pour 1 000 personnes)",6.017
Cameroun,Chômage (% de la population active) (estimation nationale),
Cameroun,Croissance de la population (% annuel),2.637754334
Cameroun,Densité de la population (personnes par kilomètre carré de superficie des terres),51.96858539
Cameroun,"Population active, total",10703283
Cameroun,"Population, total",24566070
Cameroun,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",73.66
Cameroun,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Cameroun,"Taux de mortalité, brut (pour 1 000 personnes)",9.501
Canada,Chômage (% de la population active) (estimation nationale),6.34
Canada,Croissance de la population (% annuel),1.199682154
Canada,Densité de la population (personnes par kilomètre carré de superficie des terres),4.076172901
Canada,"Population active, total",20166002
Canada,"Population, total",36545295
Canada,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",61.43
Canada,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),65.76
Canada,"Taux de mortalité, brut (pour 1 000 personnes)",7.5
Chili,Chômage (% de la population active) (estimation nationale),6.96
Chili,Croissance de la population (% annuel),1.425141421
Chili,Densité de la population (personnes par kilomètre carré de superficie des terres),24.84147959
Chili,"Population active, total",9208789
Chili,"Population, total",18470435
Chili,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",58
Chili,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),59.89
Chili,"Taux de mortalité, brut (pour 1 000 personnes)",6.076
"Chine, continentale",Chômage (% de la population active) (estimation nationale),3.9
"Chine, continentale",Croissance de la population (% annuel),0.605245013
"Chine, continentale",Densité de la population (personnes par kilomètre carré de superficie des terres),148.1442254
"Chine, continentale","Population active, total",792758868
"Chine, continentale","Population, total",1396215000
"Chine, continentale","Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",66.14
"Chine, continentale",Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
"Chine, continentale","Taux de mortalité, brut (pour 1 000 personnes)",7.11
Chine - RAS de Hong-Kong,Chômage (% de la population active) (estimation nationale),3.13
Chine - RAS de Hong-Kong,Croissance de la population (% annuel),0.748222905
Chine - RAS de Hong-Kong,Densité de la population (personnes par kilomètre carré de superficie des terres),7039.714286
Chine - RAS de Hong-Kong,"Population active, total",3961426
Chine - RAS de Hong-Kong,"Population, total",7391700
Chine - RAS de Hong-Kong,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",58.67
Chine - RAS de Hong-Kong,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),61.06
Chine - RAS de Hong-Kong,"Taux de mortalité, brut (pour 1 000 personnes)",6.3
Chypre,Chômage (% de la population active) (estimation nationale),11.05
Chypre,Croissance de la population (% annuel),0.808217946
Chypre,Densité de la population (personnes par kilomètre carré de superficie des terres),127.6715368
Chypre,"Population active, total",611106
Chypre,"Population, total",1179685
Chypre,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",55.4
Chypre,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),61.63
Chypre,"Taux de mortalité, brut (pour 1 000 personnes)",6.952
Cisjordanie et Gaza,Chômage (% de la population active) (estimation nationale),25.68
Cisjordanie et Gaza,Croissance de la population (% annuel),1.988686349
Cisjordanie et Gaza,Densité de la population (personnes par kilomètre carré de superficie des terres),740.0008306
Cisjordanie et Gaza,"Population active, total",1189979
Cisjordanie et Gaza,"Population, total",4454805
Cisjordanie et Gaza,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",32.69
Cisjordanie et Gaza,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),44
Cisjordanie et Gaza,"Taux de mortalité, brut (pour 1 000 personnes)",3.469
Colombie,Chômage (% de la population active) (estimation nationale),8.87
Colombie,Croissance de la population (% annuel),1.513747435
Colombie,Densité de la population (personnes par kilomètre carré de superficie des terres),44.08277963
Colombie,"Population active, total",25865153
Colombie,"Population, total",48909844
Colombie,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",63.04
Colombie,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),68.89
Colombie,"Taux de mortalité, brut (pour 1 000 personnes)",5.503
Comores,Chômage (% de la population active) (estimation nationale),
Comores,Croissance de la population (% annuel),2.27324455
Comores,Densité de la population (personnes par kilomètre carré de superficie des terres),437.3401397
Comores,"Population active, total",222593
Comores,"Population, total",813890
Comores,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",41.82
Comores,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Comores,"Taux de mortalité, brut (pour 1 000 personnes)",7.298
"Congo, République démocratique du",Chômage (% de la population active) (estimation nationale),
"Congo, République démocratique du",Croissance de la population (% annuel),3.258505772
"Congo, République démocratique du",Densité de la population (personnes par kilomètre carré de superficie des terres),35.90514766
"Congo, République démocratique du","Population active, total",27896292
"Congo, République démocratique du","Population, total",81398765
"Congo, République démocratique du","Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",61.09
"Congo, République démocratique du",Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
"Congo, République démocratique du","Taux de mortalité, brut (pour 1 000 personnes)",9.691
"Congo, République du",Chômage (% de la population active) (estimation nationale),
"Congo, République du",Croissance de la population (% annuel),2.570670576
"Congo, République du",Densité de la population (personnes par kilomètre carré de superficie des terres),14.96544949
"Congo, République du","Population active, total",2068039
"Congo, République du","Population, total",5110701
"Congo, République du","Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",62.91
"Congo, République du",Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
"Congo, République du","Taux de mortalité, brut (pour 1 000 personnes)",6.828
"Corée, République de",Chômage (% de la population active) (estimation nationale),3.65
"Corée, République de",Croissance de la population (% annuel),0.280968018
"Corée, République de",Densité de la population (personnes par kilomètre carré de superficie des terres),526.7348067
"Corée, République de","Population active, total",28136436
"Corée, République de","Population, total",51361911
"Corée, République de","Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",60.83
"Corée, République de",Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),63.48
"Corée, République de","Taux de mortalité, brut (pour 1 000 personnes)",5.6
"Corée, République démocratique de",Chômage (% de la population active) (estimation nationale),
"Corée, République démocratique de",Croissance de la population (% annuel),0.481502958
"Corée, République démocratique de",Densité de la population (personnes par kilomètre carré de superficie des terres),211.1935554
"Corée, République démocratique de","Population active, total",16330630
"Corée, République démocratique de","Population, total",25429816
"Corée, République démocratique de","Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",78.53
"Corée, République démocratique de",Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
"Corée, République démocratique de","Taux de mortalité, brut (pour 1 000 personnes)",8.97
Costa Rica,Chômage (% de la population active) (estimation nationale),8.14
Costa Rica,Croissance de la population (% annuel),1.02787999
Costa Rica,Densité de la population (personnes par kilomètre carré de superficie des terres),96.94388954
Costa Rica,"Population active, total",2336895
Costa Rica,"Population, total",4949955
Costa Rica,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",55.3
Costa Rica,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),58.21
Costa Rica,"Taux de mortalité, brut (pour 1 000 personnes)",5.005
Côte d'Ivoire,Chômage (% de la population active) (estimation nationale),3.27
Côte d'Ivoire,Croissance de la population (% annuel),2.54778157
Côte d'Ivoire,Densité de la population (personnes par kilomètre carré de superficie des terres),76.84740566
Côte d'Ivoire,"Population active, total",7603548
Côte d'Ivoire,"Population, total",24437475
Côte d'Ivoire,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",52.04
Côte d'Ivoire,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),56.06
Côte d'Ivoire,"Taux de mortalité, brut (pour 1 000 personnes)",10.262
Croatie,Chômage (% de la population active) (estimation nationale),11.21
Croatie,Croissance de la population (% annuel),-1.200610165
Croatie,Densité de la population (personnes par kilomètre carré de superficie des terres),72.88444955
Croatie,"Population active, total",1821332
Croatie,"Population, total",4124531
Croatie,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",45.83
Croatie,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),51.61
Croatie,"Taux de mortalité, brut (pour 1 000 personnes)",13
Cuba,Chômage (% de la population active) (estimation nationale),1.7
Cuba,Croissance de la population (% annuel),0.036578757
Cuba,Densité de la population (personnes par kilomètre carré de superficie des terres),109.2413776
Cuba,"Population active, total",5105337
Cuba,"Population, total",11339255
Cuba,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",52.95
Cuba,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Cuba,"Taux de mortalité, brut (pour 1 000 personnes)",8.827
Curacao,Chômage (% de la population active) (estimation nationale),
Curacao,Croissance de la population (% annuel),0.319536038
Curacao,Densité de la population (personnes par kilomètre carré de superficie des terres),360.7545045
Curacao,"Population active, total",
Curacao,"Population, total",160175
Curacao,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",
Curacao,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Curacao,"Taux de mortalité, brut (pour 1 000 personnes)",8.9
Danemark,Chômage (% de la population active) (estimation nationale),5.83
Danemark,Croissance de la population (% annuel),0.643350904
Danemark,Densité de la population (personnes par kilomètre carré de superficie des terres),144.1245
Danemark,"Population active, total",2960274
Danemark,"Population, total",5764980
